portfolio_delta,portfolio_pct_change,portfolio_reward,position_bonus,action_penalty,total_reward
-13391.95758,-0.001,-0.1,0.021,0.01,-0.089
-7874.500508,-0.001,-0.1,0.1,0.01,-0.01
-13562.212176,-0.001,-0.1,0.012,0.01,-0.098
-6667.561122,-0.001,-0.1,0.079,0.01,-0.031
-10526.866566,-0.001,-0.1,0.1,0.01,-0.01
-4628.39943,-0.001,-0.1,0.1,0.01,-0.01
-12843.275669,-0.001,-0.1,0.053,0.01,-0.057
-5359.294799,-0.001,-0.1,0.02,0.01,-0.09
-3245.483795,-0.001,-0.1,0.037,0.01,-0.073
-8524.054325,-0.001,-0.1,0.1,0.01,-0.01
-6486.981339,-0.001,-0.1,0.051,0.01,-0.059
-7935.113738,-0.001,-0.1,0.064,0.01,-0.046
-3901.975653,-0.001,-0.1,0.091,0.01,-0.019
-4190.275239,-0.001,-0.1,0.1,0.01,-0.01
-4007.888719,-0.001,-0.1,0.024,0.01,-0.086
-3408.531143,-0.001,-0.1,0.046,0.01,-0.064
-7861.217025,-0.001,-0.1,0.084,0.01,-0.026
-1012.210576,-0.001,-0.1,0.008,0.01,-0.102
-5443.615254,-0.001,-0.1,0.075,0.01,-0.035
-5741.268786,-0.001,-0.1,0.1,0.01,-0.01
-7258.771284,-0.001,-0.1,0.045,0.01,-0.065
-4642.957366,-0.001,-0.1,0.034,0.01,-0.076
-2463.321004,-0.001,-0.1,0.043,0.01,-0.067
-9854.569905,-0.001,-0.1,0.088,0.01,-0.022
-11368.204392,-0.001,-0.1,0.1,0.01,-0.01
-11452.242594,-0.001,-0.1,0.01,0.01,-0.1
-6037.922214,-0.001,-0.1,0.077,0.01,-0.033
-2222.77597,-0.001,-0.1,0.009,0.01,-0.101
-4331.498845,-0.001,-0.1,0.05,0.01,-0.06
-8417.788579,-0.001,-0.1,0.06,0.01,-0.05
-9888.211089,-0.001,-0.1,0.019,0.01,-0.091
-7365.987474,-0.001,-0.1,0.086,0.01,-0.024
-7206.213046,-0.001,-0.1,0.1,0.01,-0.01
-5536.643921,-0.001,-0.1,0.062,0.01,-0.048
-13545.205615,-0.001,-0.1,0.089,0.01,-0.021
-10971.851377,-0.001,-0.1,0.1,0.01,-0.01
-16126.081174,-0.001,-0.1,0.019,0.01,-0.091
-9642.051275,-0.001,-0.1,0.1,0.01,-0.01
-11443.392276,-0.001,-0.1,0.074,0.01,-0.036
-11610.818748,-0.001,-0.1,0.07,0.01,-0.04
-10320.539276,-0.001,-0.1,0.1,0.01,-0.01
-6350.752117,-0.001,-0.1,0.011,0.01,-0.099
-7142.833416,-0.001,-0.1,0.091,0.01,-0.019
-18577.760507,-0.001,-0.1,0.1,0.01,-0.01
-8443.40765,-0.001,-0.1,0.095,0.01,-0.015
-9950.047131,-0.001,-0.1,0.1,0.01,-0.01
-11519.60694,-0.001,-0.1,0.018,0.01,-0.092
-8016.59032,-0.001,-0.1,0.1,0.01,-0.01
-16264.211492,-0.001,-0.1,0.035,0.01,-0.075
-9709.456284,-0.001,-0.1,0.1,0.01,-0.01
-10505.916319,-0.001,-0.1,0.049,0.01,-0.061
-787.217952,-0.001,-0.1,0.0,0.0,-0.1
-2513.030007,-0.001,-0.1,0.034,0.01,-0.076
-1394.911283,-0.001,-0.1,0.019,0.01,-0.091
-7495.237605,-0.001,-0.1,0.1,0.01,-0.01
-13612.353389,-0.001,-0.1,0.061,0.01,-0.049
-11355.100182,-0.001,-0.1,0.1,0.01,-0.01
-6326.982949,-0.001,-0.1,0.041,0.01,-0.069
-2426.009984,-0.001,-0.1,0.032,0.01,-0.078
-2340.340126,-0.001,-0.1,0.0,0.0,-0.1
0.0,0.0,0.0,0.0,0.0,0.0
-6940.018684,-0.001,-0.1,0.094,0.01,-0.016
-6408.260843,-0.001,-0.1,0.099,0.01,-0.011
-2149.93847,-0.001,-0.1,0.017,0.01,-0.093
-5656.775419,-0.001,-0.1,0.08,0.01,-0.03
-11667.041922,-0.001,-0.1,0.1,0.01,-0.01
-15737.806501,-0.001,-0.1,0.078,0.01,-0.032
-2478.085215,-0.001,-0.1,0.0,0.0,-0.1
-6250.815894,-0.001,-0.1,0.084,0.01,-0.026
-10822.450579,-0.001,-0.1,0.069,0.01,-0.041
-3685.315071,-0.001,-0.1,0.074,0.01,-0.036
-10989.617808,-0.001,-0.1,0.1,0.01,-0.01
-17779.722124,-0.001,-0.1,0.068,0.01,-0.042
-1845.221393,-0.001,-0.1,0.098,0.01,-0.012
-16327.512761,-0.001,-0.1,0.1,0.01,-0.01
-4527.32591,-0.001,-0.1,0.0,0.0,-0.1
-7433.722776,-0.001,-0.1,0.1,0.01,-0.01
-5412.823657,-0.001,-0.1,0.0,0.0,-0.1
0.0,0.0,0.0,0.0,0.0,0.0
-7422.945605,-0.001,-0.1,0.1,0.01,-0.01
-9731.194088,-0.001,-0.1,0.088,0.01,-0.022
-5352.250906,-0.001,-0.1,0.1,0.01,-0.01
-3648.942741,-0.001,-0.1,0.017,0.01,-0.093
-7582.50974,-0.001,-0.1,0.1,0.01,-0.01
2483.440625,0.001,0.1,0.1,0.01,0.19
-16909.807946,-0.001,-0.1,0.1,0.01,-0.01
-3325.339106,-0.001,-0.1,0.0,0.0,-0.1
-7423.330546,-0.001,-0.1,0.1,0.01,-0.01
-7494.027686,-0.001,-0.1,0.0,0.0,-0.1
-3166.026739,-0.001,-0.1,0.043,0.01,-0.067
-9922.698036,-0.001,-0.1,0.077,0.01,-0.033
-13970.427588,-0.001,-0.1,0.1,0.01,-0.01
-12160.562698,-0.001,-0.1,0.075,0.01,-0.035
-7136.729667,-0.001,-0.1,0.026,0.01,-0.084
-6806.544073,-0.001,-0.1,0.1,0.01,-0.01
-12702.68398,-0.001,-0.1,0.085,0.01,-0.025
-12711.261737,-0.001,-0.1,0.1,0.01,-0.01
-4972.139884,-0.001,-0.1,0.0,0.0,-0.1
-1678.258073,-0.001,-0.1,0.023,0.01,-0.087
-10105.483552,-0.001,-0.1,0.1,0.01,-0.01
-9090.459718,-0.001,-0.1,0.084,0.01,-0.026
-10129.880899,-0.001,-0.1,0.1,0.01,-0.01
-7096.811008,-0.001,-0.1,0.083,0.01,-0.027
-4739.697792,-0.001,-0.1,0.0,0.0,-0.1
-725.388206,-0.001,-0.1,0.01,0.01,-0.1
-6987.155853,-0.001,-0.1,0.1,0.01,-0.01
-8138.523521,-0.001,-0.1,0.055,0.01,-0.055
-6569.930276,-0.001,-0.1,0.043,0.01,-0.067
-5381.74094,-0.001,-0.1,0.042,0.01,-0.068
-2917.474643,-0.001,-0.1,0.065,0.01,-0.045
-8746.690388,-0.001,-0.1,0.074,0.01,-0.036
-11246.611244,-0.001,-0.1,0.1,0.01,-0.01
-20215.822465,-0.001,-0.1,0.042,0.01,-0.068
-7828.02704,-0.001,-0.1,0.083,0.01,-0.027
-12761.674071,-0.001,-0.1,0.1,0.01,-0.01
-9709.239681,-0.001,-0.1,0.062,0.01,-0.048
-12200.237005,-0.001,-0.1,0.075,0.01,-0.035
-9603.371549,-0.001,-0.1,0.022,0.01,-0.088
-9341.711435,-0.001,-0.1,0.1,0.01,-0.01
-12229.010267,-0.001,-0.1,0.045,0.01,-0.065
-5883.456497,-0.001,-0.1,0.022,0.01,-0.088
-7001.232944,-0.001,-0.1,0.1,0.01,-0.01
1998.66828,0.001,0.1,0.0,0.0,0.1
-4632.494801,-0.001,-0.1,0.062,0.01,-0.048
-10891.51815,-0.001,-0.1,0.014,0.01,-0.096
-4122.304263,-0.001,-0.1,0.037,0.01,-0.073
-8120.7857,-0.001,-0.1,0.071,0.01,-0.039
-8021.339159,-0.001,-0.1,0.056,0.01,-0.054
-7974.209503,-0.001,-0.1,0.089,0.01,-0.021
2427.81129,0.001,0.1,0.0,0.0,0.1
-4139.421014,-0.001,-0.1,0.056,0.01,-0.054
-7238.816533,-0.001,-0.1,0.1,0.01,-0.01
-7638.417812,-0.001,-0.1,0.068,0.01,-0.042
-9428.716426,-0.001,-0.1,0.04,0.01,-0.07
-6328.857353,-0.001,-0.1,0.1,0.01,-0.01
-16227.787257,-0.001,-0.1,0.1,0.01,-0.01
-4763.595832,-0.001,-0.1,0.019,0.01,-0.091
-7591.367641,-0.001,-0.1,0.1,0.01,-0.01
-2792.242384,-0.001,-0.1,0.053,0.01,-0.057
-6548.960442,-0.001,-0.1,0.061,0.01,-0.049
-14375.300749,-0.001,-0.1,0.1,0.01,-0.01
1457.718119,0.001,0.1,0.021,0.01,0.111
-5330.797925,-0.001,-0.1,0.055,0.01,-0.055
-10527.054547,-0.001,-0.1,0.096,0.01,-0.014
-15835.56878,-0.001,-0.1,0.1,0.01,-0.01
-6116.042053,-0.001,-0.1,0.1,0.01,-0.01
-13206.863384,-0.001,-0.1,0.024,0.01,-0.086
-9185.105733,-0.001,-0.1,0.1,0.01,-0.01
1465.437643,0.001,0.1,0.1,0.01,0.19
-5836.943917,-0.001,-0.1,0.029,0.01,-0.081
-4889.609021,-0.001,-0.1,0.04,0.01,-0.07
-3601.822133,-0.001,-0.1,0.04,0.01,-0.07
-2418.715153,-0.001,-0.1,0.012,0.01,-0.098
-1536.1593,-0.001,-0.1,0.015,0.01,-0.095
-7610.676721,-0.001,-0.1,0.1,0.01,-0.01
-9206.678228,-0.001,-0.1,0.1,0.01,-0.01
-2342.494506,-0.001,-0.1,0.1,0.01,-0.01
-2316.608015,-0.001,-0.1,0.044,0.01,-0.066
-4718.804403,-0.001,-0.1,0.054,0.01,-0.056
-6604.563306,-0.001,-0.1,0.019,0.01,-0.091
-2662.779788,-0.001,-0.1,0.033,0.01,-0.077
-10976.204105,-0.001,-0.1,0.1,0.01,-0.01
-16418.785958,-0.001,-0.1,0.1,0.01,-0.01
-16478.618834,-0.001,-0.1,0.091,0.01,-0.019
-9901.923892,-0.001,-0.1,0.047,0.01,-0.063
-10601.156116,-0.001,-0.1,0.085,0.01,-0.025
-15551.165313,-0.001,-0.1,0.045,0.01,-0.065
-9123.185862,-0.001,-0.1,0.1,0.01,-0.01
3740.942135,0.001,0.1,0.1,0.01,0.19
-7978.583446,-0.001,-0.1,0.1,0.01,-0.01
-16036.978207,-0.001,-0.1,0.095,0.01,-0.015
-10023.811901,-0.001,-0.1,0.077,0.01,-0.033
-9294.371019,-0.001,-0.1,0.057,0.01,-0.053
-5612.42651,-0.001,-0.1,0.048,0.01,-0.062
-4370.094593,-0.001,-0.1,0.0,0.0,-0.1
-7434.285714,-0.001,-0.1,0.1,0.01,-0.01
-15300.020158,-0.001,-0.1,0.042,0.01,-0.068
-3815.186578,-0.001,-0.1,0.016,0.01,-0.094
1349.350624,0.001,0.1,0.0,0.0,0.1
-7473.017793,-0.001,-0.1,0.1,0.01,-0.01
-4268.946132,-0.001,-0.1,0.1,0.01,-0.01
-13049.097821,-0.001,-0.1,0.037,0.01,-0.073
-10176.398619,-0.001,-0.1,0.1,0.01,-0.01
-5150.136972,-0.001,-0.1,0.017,0.01,-0.093
-8940.34629,-0.001,-0.1,0.1,0.01,-0.01
2354.636831,0.001,0.1,0.1,0.01,0.19
-12804.007132,-0.001,-0.1,0.1,0.01,-0.01
-8171.951996,-0.001,-0.1,0.099,0.01,-0.011
-439.802898,-0.000358,-0.036,0.04,0.01,-0.006
-10332.056037,-0.001,-0.1,0.1,0.01,-0.01
-6643.773947,-0.001,-0.1,0.08,0.01,-0.03
-4154.931926,-0.001,-0.1,0.014,0.01,-0.096
-5548.781043,-0.001,-0.1,0.053,0.01,-0.057
-7476.458654,-0.001,-0.1,0.071,0.01,-0.039
-12333.580998,-0.001,-0.1,0.1,0.01,-0.01
-15336.734946,-0.001,-0.1,0.08,0.01,-0.03
-11305.888714,-0.001,-0.1,0.09,0.01,-0.02
-4204.890858,-0.001,-0.1,0.0,0.0,-0.1
-4871.814546,-0.001,-0.1,0.066,0.01,-0.044
-8926.387896,-0.001,-0.1,0.092,0.01,-0.018
-8370.225019,-0.001,-0.1,0.086,0.01,-0.024
