step,value
0,10000.0
1,10060.55426120758
2,10119.607648849487
3,10173.241782188416
4,10217.498784065247
5,10248.547444343567
6,10262.908415794373
7,10257.728247642517
8,10231.142258644104
9,10215.458197593689
10,10214.540276527405
11,10228.765215873718
12,10257.762908935547
13,10300.435032844543
14,10355.13283252716
15,10419.907133579254
16,10492.839086055756
17,10572.241950035095
18,10656.759594678879
19,10745.35640835762
20,10837.218987345695
21,10931.473841667175
22,11027.303850352764
23,11124.1761636734
24,11221.80147409439
25,11320.036723315716
26,11418.750610947609
27,11517.8241597116
28,11617.164745777845
29,11716.703294441104
30,11816.381313279271
31,11916.159238200635
32,12016.009965315461
33,12115.910473912954
34,12215.844311644323
35,12315.800098096952
36,12415.770758059807
37,12515.75129594421
38,12615.73835470248
39,12715.729738380178
40,12815.724006790551
41,12915.720185382525
42,13015.717606317776
43,13115.715822766797
44,13215.71453467579
45,13315.713541872465
46,13415.712712421227
47,13515.711953391146
48,13615.711215476258
49,13715.710466334567
50,13815.709687665512
51,13915.708869837472
52,14015.708008948786
53,14115.707104667235
54,14215.706158806497
55,14315.70517437125
56,14415.70415494345
57,14515.703104267159
58,14615.702026043728
59,14715.700923741024
60,14815.69980054548
61,14915.69865932237
62,15015.69750261333
63,15115.696332652878
64,15215.695151383261
65,15315.693960486387
66,15415.69276141141
67,15515.69155539968
68,15615.690343512906
69,15715.689126654834
70,15815.68790559475
71,15915.686680985309
72,16015.68545338123
73,16115.684223249918
74,16215.682990986897
75,16315.681756928316
76,16415.680521356044
77,16515.679284509606
78,16615.678046589383
79,16715.67680776374
80,16815.67556817732
81,16915.674327950037
82,17015.673087182586
83,17115.671845961842
84,17215.670604359257
85,17315.66936243449
86,17415.66812024008
87,17515.666877817494
88,17615.665635204423
89,17715.664392428953
90,17815.66314951786
91,17915.661906492824
92,18015.660663372182
93,18115.659420170923
94,18215.658176901125
95,18315.656933572973
96,18415.655690196945
97,18515.654446780754
98,18615.65320333022
99,18715.651959852185
100,18815.650716349555
101,18915.649472826408
102,19015.648229286817
103,19115.646985732674
104,19215.645742166453
105,19315.64449859019
106,19415.643255005052
107,19515.64201141322
108,19615.640767814984
109,19715.639524211656
110,19815.6382806044
111,19915.637036992775
112,20015.635793378533
113,20115.634549762253
114,20215.633306143063
115,20315.63206252271
116,20415.630818900026
117,20515.629575276034
118,20615.62833165146
119,20715.62708802645
120,20815.625844399838
121,20915.624600772935
122,21015.62335714545
123,21115.622113517238
124,21215.620869888153
125,21315.619626259213
126,21415.61838262838
127,21515.61713899857
128,21615.615895369192
129,21715.614651739088
130,21815.613408108256
131,21915.612164477134
132,22015.610920846302
133,22115.609677215325
134,22215.608433583766
135,22315.60718995206
136,22415.605946320793
137,22515.604702689525
138,22615.60345905782
139,22715.602215426406
140,22815.600971794556
141,22915.599728162997
142,23015.598484531147
