step,continuous_action,discrete_action,reward,pnl,portfolio_value,position,position_change,pnl_component,pnl_unclipped,inactivity_penalty,opportunity_penalty,trade_bonus,total_reward
0,0.009799957275390625,0,-0.01,0.0,200000.0,0.0,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
1,-0.30939364433288574,0,-0.02,0.0,200000.0,0.0,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
2,0.3062710762023926,0,-0.03,0.0,200000.0,0.0,0.0,0.0,0.0,-0.03,-0.0,0.0,-0.03
3,-0.8998801112174988,2,-0.8972181790612441,-179.82017982017985,199820.17982017982,-0.03589106583808057,-0.03589106583808057,-0.8999100089991001,-0.8999100089991001,-0.0,-0.0,0.002691829937856043,-0.8972181790612441
4,-0.39686644077301025,2,0.0,0.0,199862.2800404079,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
5,-0.36630916595458984,2,0.0,0.0,199904.36231510303,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
6,-0.20411187410354614,0,-0.01,0.0,199620.5357664555,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
7,-0.35143208503723145,2,0.0,0.0,199482.37310851182,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
8,-0.31963783502578735,0,-0.01,0.0,199566.95040515924,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
9,0.22365105152130127,0,-0.02,0.0,199469.254923948,-0.03589106583808057,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
10,-0.0910605788230896,0,-0.03,0.0,199552.75548862029,-0.03589106583808057,0.0,0.0,0.0,-0.03,-0.0,0.0,-0.03
11,-0.7370845079421997,2,0.0,0.0,199636.61496395097,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
12,-0.6487590670585632,2,0.0,0.0,199593.06115555644,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
13,-0.4004312753677368,2,0.0,0.0,199937.54360547036,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
14,-0.23900645971298218,0,-0.01,0.0,200247.51679558092,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
15,-0.409720778465271,2,0.0,0.0,200348.38863611885,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
16,-0.2904200553894043,0,-0.01,0.0,200529.9794837266,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
17,0.018375515937805176,0,-0.02,0.0,200473.70229249253,-0.03589106583808057,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
18,-0.3358159065246582,2,0.0,0.0,200636.37854840362,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
19,-0.39556002616882324,2,0.0,0.0,200889.19521616705,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
20,-0.446730375289917,2,0.0,0.0,200627.208381082,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
21,-0.11850136518478394,0,-0.01,0.0,200667.62172121566,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
22,-0.23295140266418457,0,-0.02,0.0,200655.54437756113,-0.03589106583808057,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
23,-0.3864843249320984,2,0.0,0.0,200910.5504003407,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
24,-0.5264803767204285,2,0.0,0.0,201007.85107982776,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
25,-0.4992358684539795,2,0.0,0.0,200988.03921148513,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
26,0.004019618034362793,0,-0.01,0.0,201193.6591276715,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
27,0.22980809211730957,0,-0.02,0.0,201126.61461668595,-0.03589106583808057,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
28,-0.6220895648002625,2,0.0,0.0,201233.83917587722,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
29,-0.514099657535553,2,0.0,0.0,201285.88122134242,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
30,0.2802109718322754,0,-0.01,0.0,201393.1955081983,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
31,-0.495434045791626,2,0.0,0.0,201063.0335935538,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
32,-0.5102859735488892,2,0.0,0.0,201065.43829496496,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
33,-0.4897511601448059,2,0.0,0.0,201254.31502893785,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
34,0.18320941925048828,0,-0.01,0.0,201107.59235179177,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
35,-0.44499319791793823,2,0.0,0.0,201325.55879462644,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
36,-0.3610118627548218,2,0.0,0.0,201288.30386828652,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
37,-0.04599684476852417,0,-0.01,0.0,201637.82901295065,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
38,-0.3596835136413574,2,0.0,0.0,201874.2434636261,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
39,-0.35535192489624023,2,0.0,0.0,201839.24967443396,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
40,-0.4804115891456604,2,0.0,0.0,201707.94221006535,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
41,0.27341127395629883,0,-0.01,0.0,201677.4527496359,-0.03589106583808057,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
42,-0.5584172606468201,2,0.0,0.0,201698.03627589403,-0.03589106583808057,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
43,0.37836170196533203,1,7.812666304359643,1572.3179545225146,201392.49777470232,0.036566237177646434,0.072457303015727,7.8072320066334635,7.8072320066334635,-0.0,-0.0,0.005434297726179526,7.812666304359643
44,-0.444091796875,2,-3.13052273501176,-629.5931004885962,200762.90467421373,-0.03650589805282945,-0.07307213523047588,-3.1360031451540458,-3.1360031451540458,-0.0,-0.0,0.005480410142285692,-3.13052273501176
45,-0.40001344680786133,2,0.0,0.0,200892.95693602692,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
46,0.06119656562805176,0,-0.01,0.0,200976.11737179128,-0.03650589805282945,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
47,0.2507917881011963,0,-0.02,0.0,200785.3558015162,-0.03650589805282945,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
48,-0.3690429925918579,2,0.0,0.0,200723.27752187737,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
49,0.31111717224121094,0,-0.01,0.0,201041.88274713344,-0.03650589805282945,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
50,-0.3840857744216919,2,0.0,0.0,200983.41855140185,-0.03650589805282945,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
