ts,pair,side,rsi,sma_short,sma_long,price,qty,pnl,win,bal_jpy,bal_btc,bal_eth,bal_xrp,spread,slippage,status,depth_bid,depth_ask,volume_recent
1757784546975,btc_jpy,bid,2.6058631921824116,100,100,120,0,,,,,,,,,,,,
1757784547153,btc_jpy,ask,2.287581699346404,101,102,95,0,,,,,,,,,,,,
1757784547169,btc_jpy,ask,2.287581699346404,101,102,95,0,,,,,,,,,,,,
1757784599687,btc_jpy,bid,,97,98,120,0,,,,,,,,,,,,
1757784599830,btc_jpy,ask,,101,102,95,0,,,,,,,,,,,,
1757784695162,btc_jpy,bid,,97,98,120,0,,,,,,,,,,,,
1757784695388,btc_jpy,ask,,101,102,95,0,,,,,,,,,,,,
1757784759435,btc_jpy,bid,0,97,98,120,0,,,,,,,,,,,,
1757784759633,btc_jpy,ask,,101,102,95,0,,,,,,,,,,,,
1757785015870,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757785016481,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757785016501,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757785067017,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757785068113,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757785068125,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757796141056,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796141227,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796141239,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757796378277,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796378492,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796378499,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757796484215,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796484425,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796484432,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757796612976,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796613338,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757796613349,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757797758213,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797758443,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797758449,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757797758539,btc_jpy,ask,,109,108,120,0,,,,,,,,,,,,
1757797758539,btc_jpy,bid,,109,108,120,0,,,,,,,,,,,,
1757797773539,btc_jpy,ask,,109,108,118,0,,,,,,,,,,,,
1757797773539,btc_jpy,bid,,109,108,118,0,,,,,,,,,,,,
1757797858590,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797858715,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797858720,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757797858753,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757797858753,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757797873753,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757797873753,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757797922961,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797923089,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797923093,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757797923129,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757797923129,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757797938129,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757797938129,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757797938852,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797939022,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757797939030,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757797939178,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757797939178,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757797954178,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757797954178,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757798625055,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757798625265,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757798625275,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757798625397,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757798625397,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757798640397,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757798640397,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799256972,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799257196,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
1757799257207,btc_jpy,ask,,105,104,95,0,,,,,,,,,,,,
1757799257318,btc_jpy,ask,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799257318,btc_jpy,bid,99.00990099009901,109,108,120,0,,,,,,,,,,,,
1757799272318,btc_jpy,ask,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799272318,btc_jpy,bid,99.00990099009901,109,108,118,0,,,,,,,,,,,,
1757799309498,btc_jpy,bid,99.00990099009901,106,105,120,0,,,,,,,,,,,,
